id,title,category,description,image_url
22,MacBook Air M2,Computers,Apple laptop with M2 chip lightweight design long battery life coding and creative work,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
23,MacBook Pro M3,Computers,Professional Apple laptop with M3 processor high performance display development and video editing,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
24,Lenovo ThinkPad E14,Computers,Business laptop with durable design keyboard productivity features and programming performance,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
25,ASUS TUF Gaming F15,Computers,Gaming laptop with dedicated graphics high refresh rate display and powerful processor,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
26,Acer Nitro V,Computers,Gaming and development laptop with dedicated graphics fast SSD and high refresh rate,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
27,MSI Modern 14,Computers,Portable laptop for office work programming study and everyday productivity,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
28,Lenovo LOQ Gaming Laptop,Computers,Performance gaming laptop with dedicated graphics powerful processor and high refresh rate,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
29,Logitech MX Master 3S,Accessories,Wireless ergonomic mouse for productivity programming office work and precise control,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
30,Logitech K380 Keyboard,Accessories,Compact wireless keyboard for office work coding study and multi device connectivity,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500
31,Apple Magic Mouse,Accessories,Wireless mouse with multi touch surface premium design and smooth navigation,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
32,Samsung Wireless Charger,Accessories,Fast wireless charging pad for compatible smartphones and convenient desk charging,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500
33,Anker USB C Hub,Accessories,Multi port USB C hub with HDMI USB ports and connectivity for laptops,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
34,Belkin Power Bank,Accessories,Portable power bank for smartphones with fast charging and travel convenience,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500
35,Portronics Laptop Stand,Accessories,Adjustable laptop stand for comfortable desk work coding and improved ergonomics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
36,Amazon Basics Laptop Sleeve,Accessories,Protective laptop sleeve with lightweight design padding and everyday portability,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500
37,JBL Bluetooth Speaker,Accessories,Portable wireless speaker with powerful audio deep bass and long battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
38,Sony Alpha A6400,Camera,Mirrorless camera for photography video shooting autofocus and interchangeable lenses,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
39,Canon EOS R50,Camera,Compact mirrorless camera for photography video content creation and travel,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=500
40,Nikon Z50,Camera,Mirrorless camera with sharp image quality fast autofocus and versatile photography,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
41,Fujifilm X-S20,Camera,Mirrorless camera for photography video recording creative shooting and travel,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=500
42,Sony Alpha A7 III,Camera,Full frame mirrorless camera with professional image quality autofocus and video,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
43,Canon EOS 90D,Camera,DSLR camera with high resolution sensor fast autofocus photography and video,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=500
44,GoPro HERO 12,Camera,Action camera for travel sports outdoor video recording and stabilized footage,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
45,DJI Osmo Action,Camera,Compact action camera for outdoor adventures travel and stabilized video recording,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=500
46,Sony ZV-E10,Camera,Content creation camera with interchangeable lens support autofocus and video features,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
47,PlayStation 5,Gaming,Gaming console with fast SSD immersive graphics high performance and modern games,https://images.unsplash.com/photo-1592840496694-26c035b52bca?w=500
48,Xbox Series X,Gaming,Powerful gaming console with 4K gaming fast loading and large game library,https://images.unsplash.com/photo-1605901309584-818e25960a8f?w=500
49,Nintendo Switch OLED,Gaming,Portable gaming console with OLED display detachable controllers and versatile gameplay,https://images.unsplash.com/photo-1592840496694-26c035b52bca?w=500
50,Steam Deck,Gaming,Portable PC gaming device with controls large display and access to PC games,https://images.unsplash.com/photo-1605901309584-818e25960a8f?w=500
51,Razer Gaming Mouse,Gaming,High precision gaming mouse with programmable buttons fast tracking and ergonomic design,https://images.unsplash.com/photo-1592840496694-26c035b52bca?w=500
52,Logitech G Pro Keyboard,Gaming,Mechanical gaming keyboard with responsive switches compact design and RGB lighting,https://images.unsplash.com/photo-1605901309584-818e25960a8f?w=500
53,HyperX Gaming Headset,Gaming,Gaming headset with surround sound clear microphone and comfortable ear cushions,https://images.unsplash.com/photo-1592840496694-26c035b52bca?w=500
54,Corsair Gaming Mouse,Gaming,Performance gaming mouse with accurate sensor programmable buttons and customizable controls,https://images.unsplash.com/photo-1605901309584-818e25960a8f?w=500
55,ASUS ROG Monitor,Gaming,High refresh rate gaming monitor with fast response time adaptive sync and sharp display,https://images.unsplash.com/photo-1592840496694-26c035b52bca?w=500
56,Amazon Echo Dot,Smart Home,Smart speaker with voice assistant music playback smart home control and compact design,https://images.unsplash.com/photo-1558008258-3256797b43f3?w=500
57,Google Nest Mini,Smart Home,Smart speaker with Google Assistant voice control music and smart home integration,https://images.unsplash.com/photo-1558089687-f282ffcbc126?w=500
58,Philips Smart Bulb,Smart Home,WiFi smart LED bulb with app control brightness adjustment and smart home automation,https://images.unsplash.com/photo-1558008258-3256797b43f3?w=500
59,TP-Link Smart Plug,Smart Home,WiFi smart plug with remote control scheduling energy management and home automation,https://images.unsplash.com/photo-1558089687-f282ffcbc126?w=500
60,Google Nest Hub,Smart Home,Smart display for voice assistance recipes media playback and smart home control,https://images.unsplash.com/photo-1558008258-3256797b43f3?w=500
61,Ring Video Doorbell,Smart Home,Smart doorbell with camera motion detection mobile alerts and two way communication,https://images.unsplash.com/photo-1558089687-f282ffcbc126?w=500
62,Xiaomi Smart Air Purifier,Smart Home,Smart air purifier with app control air quality monitoring and automated filtration,https://images.unsplash.com/photo-1558008258-3256797b43f3?w=500
63,Philips Hue Lightstrip,Smart Home,Smart LED light strip with app control adjustable lighting and home ambience,https://images.unsplash.com/photo-1558089687-f282ffcbc126?w=500
64,Eufy Security Camera,Smart Home,Indoor security camera with motion detection mobile alerts and smart monitoring,https://images.unsplash.com/photo-1558008258-3256797b43f3?w=500
65,Apple Watch Series 9,Wearables,Smartwatch with fitness tracking notifications health features and activity monitoring,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
66,Samsung Galaxy Watch 6,Wearables,Android smartwatch with fitness tracking sleep monitoring notifications and health features,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500
67,Google Pixel Watch 2,Wearables,Smartwatch with fitness tracking Google services notifications and health monitoring,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
68,Garmin Venu 3,Wearables,Fitness smartwatch with activity tracking GPS health monitoring and long battery life,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500
69,Fitbit Charge 6,Wearables,Fitness tracker with heart rate monitoring activity tracking sleep and exercise features,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
70,Amazfit GTR 4,Wearables,Smartwatch with GPS fitness tracking health monitoring and long battery life,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500
71,OnePlus Watch 2,Wearables,Wearable smartwatch with fitness tracking notifications GPS and premium display,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
72,Noise ColorFit Ultra,Wearables,Affordable smartwatch with health tracking notifications large display and activity monitoring,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500
73,boAt Wave Sigma,Wearables,Fitness smartwatch with activity tracking notifications heart rate monitoring and sports modes,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
74,Apple AirPods Pro,Audio,Wireless earbuds with active noise cancellation spatial audio and seamless device connectivity,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
75,Samsung Galaxy Buds 2 Pro,Audio,Wireless earbuds with noise cancellation immersive audio and comfortable fit,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500
76,JBL Tune 770NC,Audio,Wireless headphones with active noise cancellation deep bass and long battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
77,Bose QuietComfort,Audio,Premium wireless headphones with strong noise cancellation comfort and detailed audio,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500
78,Sennheiser Momentum 4,Audio,Wireless headphones with high quality audio adaptive noise cancellation and long battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
79,Sony WF-1000XM5,Audio,Premium wireless earbuds with noise cancellation clear audio and smart connectivity,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500
80,JBL Flip 6,Audio,Portable Bluetooth speaker with powerful sound waterproof design and long battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
81,Marshall Emberton,Audio,Portable Bluetooth speaker with rich sound classic design and long battery performance,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500
82,Anker Soundcore Q45,Audio,Wireless headphones with adaptive noise cancellation deep bass and long battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
83,LG Smart TV,Home Appliances,Smart television with 4K display streaming apps vivid picture quality and modern connectivity,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=500
84,Samsung 4K TV,Home Appliances,Ultra HD smart television with streaming services HDR display and wireless connectivity,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=500
85,Dyson Vacuum Cleaner,Home Appliances,Cordless vacuum cleaner with powerful suction filtration and convenient home cleaning,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=500
86,Philips Air Fryer,Home Appliances,Kitchen air fryer for low oil cooking fast heating and convenient meal preparation,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=500
87,LG Washing Machine,Home Appliances,Front load washing machine with multiple wash programs energy efficiency and smart features,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=500
88,Samsung Refrigerator,Home Appliances,Modern refrigerator with spacious storage cooling technology and energy efficient operation,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=500
89,IFB Microwave Oven,Home Appliances,Microwave oven for cooking reheating baking and convenient kitchen preparation,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=500
90,Prestige Induction Cooktop,Home Appliances,Electric induction cooktop with temperature controls fast heating and kitchen safety features,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=500
91,Voltas Air Conditioner,Home Appliances,Energy efficient air conditioner with fast cooling temperature control and comfortable indoor climate,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=500
92,TP-Link WiFi Router,Networking,Dual band wireless router with fast internet connectivity coverage and home networking,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500
93,Netgear WiFi Router,Networking,High performance wireless router with dual band connectivity speed and network management,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=500
94,TP-Link Mesh WiFi,Networking,Mesh WiFi system providing wider wireless coverage stable connectivity and easy setup,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500
95,D-Link WiFi Extender,Networking,Wireless range extender for improving WiFi coverage and reducing dead zones,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=500
96,ASUS Gaming Router,Networking,High performance gaming router with low latency traffic management and fast wireless speeds,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500
97,Netgear Nighthawk,Networking,Advanced WiFi router with fast wireless performance security features and broad coverage,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=500
98,TP-Link 5G Router,Networking,5G wireless router for high speed internet connectivity and flexible home networking,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500
99,Cisco Home Router,Networking,Reliable network router for secure connectivity device management and home networking,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=500
100,Tenda AC Router,Networking,Affordable dual band router for home internet browsing streaming and wireless devices,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500
